,0,Sector
ATVI,26.917537782194525,Communication Services
GOOGL,30.76058983716042,Communication Services
GOOG,30.65800010992648,Communication Services
T,24.326977125463422,Communication Services
CHTR,157.6214135672948,Communication Services
CMCSA,22.174152724199917,Communication Services
DISH,35.79506010111064,Communication Services
DIS,65.70084307679575,Communication Services
EA,58.801794204034216,Communication Services
FOXA,5.89960179957625,Communication Services
FOX,5.644052311328992,Communication Services
IPG,18.777902021238656,Communication Services
LYV,25.008654539052348,Communication Services
MTCH,27.171057625482344,Communication Services
META,69.21676241706496,Communication Services
NFLX,109.5917630244965,Communication Services
NWSA,6.642437926914594,Communication Services
NWS,6.664764126645376,Communication Services
OMC,55.38669597335058,Communication Services
PARA,27.584752571194954,Communication Services
TMUS,38.459165651953384,Communication Services
TTWO,46.91093920452954,Communication Services
VZ,42.54406335672287,Communication Services
WBD,17.566855089774688,Communication Services
AAP,84.55312898387648,Consumer Discretionary
AMZN,34.863364317848614,Consumer Discretionary
APTV,37.21486540061154,Consumer Discretionary
AZO,513.3789355698514,Consumer Discretionary
BBWI,29.644050199528262,Consumer Discretionary
BBY,46.28073573173725,Consumer Discretionary
BKNG,816.9103660998484,Consumer Discretionary
BWA,28.6925334327127,Consumer Discretionary
CZR,14.59530693141565,Consumer Discretionary
KMX,41.75149130884507,Consumer Discretionary
CCL,38.024498928552624,Consumer Discretionary
CMG,395.98149823081,Consumer Discretionary
DHI,29.33367743512539,Consumer Discretionary
DRI,55.03097998640717,Consumer Discretionary
DPZ,109.18858515355889,Consumer Discretionary
EBAY,22.72127038839541,Consumer Discretionary
ETSY,24.96328707908931,Consumer Discretionary
EXPE,63.531850616164405,Consumer Discretionary
F,12.544803774959012,Consumer Discretionary
GRMN,48.80035478629886,Consumer Discretionary
GM,18.845664384838653,Consumer Discretionary
GPC,67.29658609293912,Consumer Discretionary
HAS,49.10037120715396,Consumer Discretionary
HLT,33.08581879318577,Consumer Discretionary
HD,103.29604980259725,Consumer Discretionary
LVS,41.495209746098475,Consumer Discretionary
LEN,41.44024934357364,Consumer Discretionary
LKQ,18.489693759269503,Consumer Discretionary
LOW,61.0376238829469,Consumer Discretionary
MAR,60.55769992193131,Consumer Discretionary
MCD,98.6501789765407,Consumer Discretionary
MGM,26.335332111299856,Consumer Discretionary
MHK,105.28955810070038,Consumer Discretionary
NWL,25.34384548302791,Consumer Discretionary
NKE,41.49262513673469,Consumer Discretionary
NCLH,16.81712628709127,Consumer Discretionary
NVR,1498.834112559606,Consumer Discretionary
ORLY,171.72763856659606,Consumer Discretionary
POOL,95.13529547058964,Consumer Discretionary
PHM,22.672828407248815,Consumer Discretionary
RL,87.03586023613198,Consumer Discretionary
ROST,38.37030748104906,Consumer Discretionary
RCL,52.40752093936891,Consumer Discretionary
SBUX,35.91030438073898,Consumer Discretionary
TPR,32.89132042957904,Consumer Discretionary
TSLA,33.26777239203045,Consumer Discretionary
TJX,24.765702054527114,Consumer Discretionary
TSCO,54.96732842391867,Consumer Discretionary
ULTA,115.26970795168452,Consumer Discretionary
VFC,36.6856792656322,Consumer Discretionary
WHR,110.24288771250477,Consumer Discretionary
WYNN,86.04498626993943,Consumer Discretionary
YUM,48.014564372272524,Consumer Discretionary
ADM,35.17344564685266,Consumer Staples
MO,46.819961730421404,Consumer Staples
BF.B,0.0,Consumer Staples
BG,59.67353810966015,Consumer Staples
CPB,38.25141107056239,Consumer Staples
CHD,32.339018492298585,Consumer Staples
CLX,90.99978234792408,Consumer Staples
KO,35.61348123191154,Consumer Staples
CL,49.578696904933615,Consumer Staples
CAG,24.390187703950765,Consumer Staples
STZ,83.46525521153865,Consumer Staples
COST,139.30210846335922,Consumer Staples
DG,59.32196919011743,Consumer Staples
DLTR,48.72734283016969,Consumer Staples
EL,81.53536566344843,Consumer Staples
GIS,40.72592206066602,Consumer Staples
HSY,80.86114709295639,Consumer Staples
HRL,21.164125378164528,Consumer Staples
K,53.29774083780916,Consumer Staples
KDP,31.393143413083195,Consumer Staples
KMB,86.87286897277178,Consumer Staples
KHC,17.85748077353386,Consumer Staples
KR,20.019332147073257,Consumer Staples
LW,18.222122556787646,Consumer Staples
MKC,36.37636184678094,Consumer Staples
TAP,49.570367928808686,Consumer Staples
MDLZ,36.738684924171395,Consumer Staples
MNST,27.996894197688878,Consumer Staples
PEP,83.97749835383402,Consumer Staples
PM,52.220005556491955,Consumer Staples
PG,75.69809457463761,Consumer Staples
SJM,78.89995357124772,Consumer Staples
SYY,41.905080724579015,Consumer Staples
TGT,72.5357337868377,Consumer Staples
TSN,35.09069595032767,Consumer Staples
WBA,47.735678290341,Consumer Staples
WMT,73.53957376480102,Consumer Staples
APA,57.30469071418047,Energy
BKR,44.267755578356244,Energy
CVX,87.45012557351426,Energy
COP,49.561168957246494,Energy
CTRA,15.16435651184149,Energy
DVN,48.071416808317785,Energy
FANG,38.05017466994181,Energy
EOG,56.032114448633095,Energy
EQT,24.41057097568904,Energy
XOM,69.06759963754105,Energy
HAL,30.750921281519002,Energy
HES,55.710001544633954,Energy
KMI,12.838463184809031,Energy
MRO,18.890934354342416,Energy
MPC,26.124474966240257,Energy
OXY,53.18434075137524,Energy
OKE,32.420747833770434,Energy
