,0,Sector
ATVI,26.917537782194525,Communication Services
GOOGL,30.76058983716042,Communication Services
GOOG,30.65800010992648,Communication Services
T,24.326977125463422,Communication Services
CHTR,157.6214135672948,Communication Services
CMCSA,22.174152724199917,Communication Services
DISH,35.79506010111064,Communication Services
DIS,65.70084307679575,Communication Services
EA,58.801794204034216,Communication Services
FOXA,5.89960179957625,Communication Services
FOX,5.644052311328992,Communication Services
IPG,18.777902021238656,Communication Services
LYV,25.008654539052348,Communication Services
MTCH,27.171057625482344,Communication Services
META,69.21676241706496,Communication Services
NFLX,109.5917630244965,Communication Services
NWSA,6.642437926914594,Communication Services
NWS,6.664764126645376,Communication Services
OMC,55.38669597335058,Communication Services
PARA,27.584752571194954,Communication Services
TMUS,38.459165651953384,Communication Services
TTWO,46.91093920452954,Communication Services
VZ,42.54406335672287,Communication Services
WBD,17.566855089774688,Communication Services
