,0,Sector
AAP,84.55312898387648,Consumer Discretionary
AMZN,34.863364317848614,Consumer Discretionary
APTV,37.21486540061154,Consumer Discretionary
AZO,513.3789355698514,Consumer Discretionary
BBWI,29.644050199528262,Consumer Discretionary
BBY,46.28073573173725,Consumer Discretionary
BKNG,816.9103660998484,Consumer Discretionary
BWA,28.6925334327127,Consumer Discretionary
CZR,14.59530693141565,Consumer Discretionary
KMX,41.75149130884507,Consumer Discretionary
CCL,38.024498928552624,Consumer Discretionary
CMG,395.98149823081,Consumer Discretionary
DHI,29.33367743512539,Consumer Discretionary
DRI,55.03097998640717,Consumer Discretionary
DPZ,109.18858515355889,Consumer Discretionary
EBAY,22.72127038839541,Consumer Discretionary
ETSY,24.96328707908931,Consumer Discretionary
EXPE,63.531850616164405,Consumer Discretionary
F,12.544803774959012,Consumer Discretionary
GRMN,48.80035478629886,Consumer Discretionary
GM,18.845664384838653,Consumer Discretionary
GPC,67.29658609293912,Consumer Discretionary
HAS,49.10037120715396,Consumer Discretionary
HLT,33.08581879318577,Consumer Discretionary
HD,103.29604980259725,Consumer Discretionary
LVS,41.495209746098475,Consumer Discretionary
LEN,41.44024934357364,Consumer Discretionary
LKQ,18.489693759269503,Consumer Discretionary
LOW,61.0376238829469,Consumer Discretionary
MAR,60.55769992193131,Consumer Discretionary
MCD,98.6501789765407,Consumer Discretionary
MGM,26.335332111299856,Consumer Discretionary
MHK,105.28955810070038,Consumer Discretionary
NWL,25.34384548302791,Consumer Discretionary
NKE,41.49262513673469,Consumer Discretionary
NCLH,16.81712628709127,Consumer Discretionary
NVR,1498.834112559606,Consumer Discretionary
ORLY,171.72763856659606,Consumer Discretionary
POOL,95.13529547058964,Consumer Discretionary
PHM,22.672828407248815,Consumer Discretionary
RL,87.03586023613198,Consumer Discretionary
ROST,38.37030748104906,Consumer Discretionary
RCL,52.40752093936891,Consumer Discretionary
SBUX,35.91030438073898,Consumer Discretionary
TPR,32.89132042957904,Consumer Discretionary
TSLA,33.26777239203045,Consumer Discretionary
TJX,24.765702054527114,Consumer Discretionary
TSCO,54.96732842391867,Consumer Discretionary
ULTA,115.26970795168452,Consumer Discretionary
VFC,36.6856792656322,Consumer Discretionary
WHR,110.24288771250477,Consumer Discretionary
WYNN,86.04498626993943,Consumer Discretionary
YUM,48.014564372272524,Consumer Discretionary
