,0,Sector
ADM,35.17344564685266,Consumer Staples
MO,46.819961730421404,Consumer Staples
BF.B,0.0,Consumer Staples
BG,59.67353810966015,Consumer Staples
CPB,38.25141107056239,Consumer Staples
CHD,32.339018492298585,Consumer Staples
CLX,90.99978234792408,Consumer Staples
KO,35.61348123191154,Consumer Staples
CL,49.578696904933615,Consumer Staples
CAG,24.390187703950765,Consumer Staples
STZ,83.46525521153865,Consumer Staples
COST,139.30210846335922,Consumer Staples
DG,59.32196919011743,Consumer Staples
DLTR,48.72734283016969,Consumer Staples
EL,81.53536566344843,Consumer Staples
GIS,40.72592206066602,Consumer Staples
HSY,80.86114709295639,Consumer Staples
HRL,21.164125378164528,Consumer Staples
K,53.29774083780916,Consumer Staples
KDP,31.393143413083195,Consumer Staples
KMB,86.87286897277178,Consumer Staples
KHC,17.85748077353386,Consumer Staples
KR,20.019332147073257,Consumer Staples
LW,18.222122556787646,Consumer Staples
MKC,36.37636184678094,Consumer Staples
TAP,49.570367928808686,Consumer Staples
MDLZ,36.738684924171395,Consumer Staples
MNST,27.996894197688878,Consumer Staples
PEP,83.97749835383402,Consumer Staples
PM,52.220005556491955,Consumer Staples
PG,75.69809457463761,Consumer Staples
SJM,78.89995357124772,Consumer Staples
SYY,41.905080724579015,Consumer Staples
TGT,72.5357337868377,Consumer Staples
TSN,35.09069595032767,Consumer Staples
WBA,47.735678290341,Consumer Staples
WMT,73.53957376480102,Consumer Staples
