,0,Sector
APA,57.30469071418047,Energy
BKR,44.267755578356244,Energy
CVX,87.45012557351426,Energy
COP,49.561168957246494,Energy
CTRA,15.16435651184149,Energy
DVN,48.071416808317785,Energy
FANG,38.05017466994181,Energy
EOG,56.032114448633095,Energy
EQT,24.41057097568904,Energy
XOM,69.06759963754105,Energy
HAL,30.750921281519002,Energy
HES,55.710001544633954,Energy
KMI,12.838463184809031,Energy
MRO,18.890934354342416,Energy
MPC,26.124474966240257,Energy
OXY,53.18434075137524,Energy
OKE,32.420747833770434,Energy
PSX,37.90456206569933,Energy
PXD,96.7342153002138,Energy
SLB,55.88449051968039,Energy
TRGP,28.694101029420143,Energy
VLO,45.456890094300654,Energy
WMB,24.69638273945359,Energy
