,0,Sector
AFL,30.01202754709002,Financials
ALL,61.37532007530944,Financials
AXP,70.24007463761389,Financials
AIG,525.0340130785556,Financials
AMP,83.93921532479868,Financials
AON,90.42024772285599,Financials
ACGL,17.07804806479444,Financials
AJG,52.3023173471428,Financials
AIZ,60.16168534016772,Financials
BAC,27.759889219282833,Financials
WRB,21.421060659833355,Financials
BRK.B,0.0,Financials
BLK,276.4818847849761,Financials
BK,38.50650177495937,Financials
BRO,19.38578124026934,Financials
COF,70.72623594041964,Financials
CBOE,41.38720033389248,Financials
SCHW,28.51265060662815,Financials
CB,87.52385103204479,Financials
CINF,54.221499427867265,Financials
C,198.67398509685307,Financials
CFG,12.588208527066936,Financials
CME,88.96427103009535,Financials
CMA,52.49503192497443,Financials
DFS,36.655366857533586,Financials
RE,140.11432196179481,Financials
FDS,129.1958144534124,Financials
FITB,31.22644335218284,Financials
FRC,45.547187930508834,Financials
FIS,56.05798029899597,Financials
FISV,37.264839644117714,Financials
FLT,86.08401027256495,Financials
BEN,31.058408546611055,Financials
GL,46.06702218923258,Financials
GPN,53.750273254840344,Financials
GS,170.70241420350663,Financials
HIG,51.15801002807813,Financials
HBAN,13.68043835902561,Financials
ICE,38.903845561469254,Financials
IVZ,23.678534537941626,Financials
JKHY,63.86477853394535,Financials
JPM,64.14679215505515,Financials
KEY,19.111486004925755,Financials
LNC,46.16065604878615,Financials
L,36.98191728881777,Financials
MTB,109.03154488263066,Financials
MKTX,106.49286599877763,Financials
MMC,59.516851559403825,Financials
MA,92.33015255242178,Financials
MET,40.55174007897508,Financials
MCO,96.86102236823676,Financials
MS,48.134634978354796,Financials
MSCI,99.82940922220276,Financials
NDAQ,17.01530279322234,Financials
NTRS,67.49534614772013,Financials
PYPL,35.7412894713552,Financials
PNC,86.17138807144883,Financials
PFG,41.4603176402719,Financials
PGR,36.722488214647115,Financials
PRU,66.12022603056202,Financials
RJF,33.1502426271161,Financials
RF,17.924487507690305,Financials
SPGI,111.27596696500909,Financials
STT,60.8936778287365,Financials
SYF,12.273954706608432,Financials
TROW,67.34113526144256,Financials
TRV,80.62015462656544,Financials
TFC,38.19662602576491,Financials
USB,35.42977637885368,Financials
V,61.134078152824756,Financials
WFC,36.49638251523449,Financials
WTW,114.59790860300194,Financials
ZION,43.94403974895608,Financials
