,0,Sector
ABT,43.39122183608682,Health Care
ABBV,36.93513183969341,Health Care
A,46.18609224023068,Health Care
ALGN,103.50128003311892,Health Care
ABC,53.87349654111552,Health Care
AMGN,114.41237385909851,Health Care
BAX,40.11535070387468,Health Care
BDX,116.51297109682265,Health Care
BIO,170.10683371636966,Health Care
TECH,28.27451594916925,Health Care
BIIB,158.29513031538218,Health Care
BSX,21.26137256803986,Health Care
BMY,43.13211679564763,Health Care
CAH,57.70284238931251,Health Care
CTLT,20.895613402209868,Health Care
CNC,23.46182016734391,Health Care
CRL,83.12260699280321,Health Care
CI,92.61079715539331,Health Care
COO,132.3741523124992,Health Care
CVS,50.62335134912027,Health Care
DHR,71.26651335819943,Health Care
DVA,46.11647463820569,Health Care
XRAY,37.68617686233292,Health Care
DXCM,20.597808973094423,Health Care
EW,25.671713584845197,Health Care
ELV,131.40022709010398,Health Care
LLY,87.32810130625555,Health Care
GEHC,0.7455779098484614,Health Care
GILD,41.133430216344046,Health Care
HCA,53.85139640479872,Health Care
HSIC,36.39191120055644,Health Care
HOLX,27.391378482778187,Health Care
HUM,141.09723010026428,Health Care
IDXX,112.45984760835154,Health Care
ILMN,116.14236209757932,Health Care
INCY,42.0052849253512,Health Care
PODD,55.49277568102291,Health Care
ISRG,73.57661755964007,Health Care
IQV,52.34058733198741,Health Care
JNJ,89.8227552608268,Health Care
LH,104.0336867144663,Health Care
MCK,108.07025706025019,Health Care
MDT,63.26771334377054,Health Care
MRK,53.300539153732664,Health Care
MTD,343.3850396330226,Health Care
MRNA,22.44483420277295,Health Care
MOH,65.13417739088405,Health Care
OGN,2.4852732463242257,Health Care
PKI,49.93871960627706,Health Care
PFE,30.092372462929113,Health Care
DGX,67.7539727937277,Health Care
REGN,210.5131661781097,Health Care
RMD,62.529553793227834,Health Care
STE,64.75539615921778,Health Care
SYK,94.46425937748936,Health Care
TFX,130.29135896898296,Health Care
TMO,139.29382247786,Health Care
UNH,123.00573881793103,Health Care
UHS,66.77074226161389,Health Care
VRTX,88.15939298406856,Health Care
VTRS,23.97657549726228,Health Care
WAT,115.50868571163856,Health Care
WST,72.8796266454744,Health Care
ZBH,79.11071095205332,Health Care
ZTS,41.108440923527496,Health Care
