,0,Sector
MMM,113.53787825760776,Industrials
AOS,24.02748613425926,Industrials
ADP,78.93011473833698,Industrials
ALK,30.421953471188676,Industrials
ALLE,35.19624787275105,Industrials
AAL,19.03767936784417,Industrials
AME,42.561609299807515,Industrials
BA,122.51219965554263,Industrials
BR,46.63967552201389,Industrials
CHRW,57.063960328126605,Industrials
CARR,5.185139123625952,Industrials
CAT,87.8974082593232,Industrials
CTAS,107.58258245440379,Industrials
CPRT,15.057414959217995,Industrials
CSGP,20.89678513312789,Industrials
CSX,10.655564526233771,Industrials
CMI,94.45412933026275,Industrials
DE,102.28134933146711,Industrials
DAL,21.093235875441604,Industrials
DOV,55.415943799239315,Industrials
ETN,57.57375875135807,Industrials
EMR,51.670678281457455,Industrials
EFX,76.60460352758838,Industrials
EXPD,47.47300259695478,Industrials
FAST,19.60125812922847,Industrials
FDX,124.5955725313866,Industrials
FTV,17.748576891503923,Industrials
GNRC,49.50660743599069,Industrials
GD,104.04848175506069,Industrials
GE,150.60456607603047,Industrials
HON,84.10431101910055,Industrials
HWM,7.289788096367496,Industrials
HII,78.03589939140294,Industrials
IEX,72.57013503455953,Industrials
ITW,86.91164360960869,Industrials
IR,9.566273028719914,Industrials
JBHT,62.24459875514859,Industrials
J,53.07327476856235,Industrials
JCI,46.81253996713929,Industrials
LHX,79.64868706183074,Industrials
LDOS,40.45140991268093,Industrials
LMT,165.18037047402498,Industrials
MAS,26.933782273980036,Industrials
NDSN,73.29565659255198,Industrials
NSC,91.39842864242318,Industrials
NOC,146.49472705460573,Industrials
ODFL,57.06980023614501,Industrials
OTIS,9.37802230903547,Industrials
PCAR,32.21176863718931,Industrials
PH,106.53343712099611,Industrials
PAYX,50.194188528028256,Industrials
PNR,31.1678707442055,Industrials
PWR,33.19388359528392,Industrials
RTX,52.455624520084626,Industrials
RSG,44.38907883395888,Industrials
RHI,41.17702802407415,Industrials
ROK,103.18924786836317,Industrials
ROL,11.090274421406322,Industrials
SNA,93.14217668241018,Industrials
LUV,26.294055212319712,Industrials
SWK,81.44064672254537,Industrials
TXT,38.00043956381205,Industrials
TT,49.97881052973744,Industrials
TDG,178.27489680133453,Industrials
UNP,77.44877057438843,Industrials
UAL,31.391635698182125,Industrials
UPS,92.44862912207434,Industrials
URI,80.56665479121347,Industrials
VRSK,56.85577528019474,Industrials
WAB,43.949515240159755,Industrials
WM,56.24927829463188,Industrials
GWW,182.4688847286244,Industrials
XYL,29.987619871064407,Industrials
