,0,Sector
ACN,91.07915409076703,Information Technology
ADBE,119.29459142615534,Information Technology
AKAM,49.73265527120651,Information Technology
AMD,22.586541790469255,Information Technology
APH,23.216174648957303,Information Technology
ADI,63.34464459725439,Information Technology
ANSS,92.53201484563824,Information Technology
AAPL,30.99254865181339,Information Technology
AMAT,33.5692750984267,Information Technology
ANET,21.89195449564555,Information Technology
ADSK,73.07772206272165,Information Technology
AVGO,117.91000252476293,Information Technology
CDNS,36.25136279160642,Information Technology
CDW,38.22223204145693,Information Technology
CDAY,14.237017217400956,Information Technology
CSCO,29.81216482148595,Information Technology
CTSH,35.78231985621307,Information Technology
GLW,23.34025023124908,Information Technology
DXC,30.74484331989533,Information Technology
ENPH,24.68278168514116,Information Technology
EPAM,78.2709015591912,Information Technology
FFIV,83.03413495249944,Information Technology
FICO,119.99876205761956,Information Technology
FSLR,59.53072817346005,Information Technology
FTNT,9.247955782461451,Information Technology
IT,73.17438555670111,Information Technology
GEN,18.995220256668247,Information Technology
HPE,4.389836052366316,Information Technology
HPQ,17.14242175027524,Information Technology
IBM,124.32923129519371,Information Technology
INTC,32.00319333999124,Information Technology
INTU,114.29099697572728,Information Technology
JNPR,29.51084404679602,Information Technology
KEYS,30.740004070164407,Information Technology
KLAC,91.90928536192195,Information Technology
LRCX,119.2388586689144,Information Technology
MCHP,26.832545367026167,Information Technology
MU,26.9846011333933,Information Technology
MSFT,70.50159073574086,Information Technology
MPWR,80.45269906361625,Information Technology
MSI,87.81977128398745,Information Technology
NTAP,40.89698484744111,Information Technology
NVDA,31.574872609779035,Information Technology
NXPI,50.5087602749671,Information Technology
ON,13.980226427383007,Information Technology
ORCL,34.302237718317606,Information Technology
PAYC,68.87848061694675,Information Technology
PTC,40.79458855384425,Information Technology
QRVO,32.76718604074765,Information Technology
QCOM,59.43913178182628,Information Technology
ROP,146.94954049044276,Information Technology
CRM,61.68184600596967,Information Technology
STX,31.555974325598918,Information Technology
NOW,101.10893708051067,Information Technology
SWKS,49.423450724025294,Information Technology
SEDG,42.04341973915492,Information Technology
SNPS,70.67786106332524,Information Technology
TEL,45.079336051724546,Information Technology
TDY,116.25596951127869,Information Technology
TER,34.074335383052286,Information Technology
TXN,61.538775392468665,Information Technology
TRMB,24.563817273784583,Information Technology
TYL,108.15360458487109,Information Technology
VRSN,78.7799656754283,Information Technology
WDC,39.19794527480047,Information Technology
ZBRA,101.27778931100892,Information Technology
