,0,Sector
APD,112.7094406657023,Materials
ALB,64.30237747651258,Materials
AMCR,4.92529623249214,Materials
AVY,74.09342905242148,Materials
BALL,28.096983306063976,Materials
CE,51.87557363863269,Materials
CF,27.312908906336517,Materials
CTVA,6.967006678613898,Materials
DOW,9.175004194615639,Materials
DD,59.069306669088256,Materials
EMN,53.03633924175615,Materials
ECL,85.46559276017425,Materials
FMC,44.03281845203409,Materials
FCX,24.28816598890579,Materials
IFF,75.00383123020603,Materials
IP,36.81129857108814,Materials
LIN,112.4731833729842,Materials
LYB,42.969462325148385,Materials
MLM,135.49130974607925,Materials
MOS,35.17630507909272,Materials
NEM,40.41930695976296,Materials
NUE,47.34926548093966,Materials
PKG,54.69783178245368,Materials
PPG,67.53641482411999,Materials
SEE,31.603491232370676,Materials
SHW,75.19509445004267,Materials
STLD,22.894190660884526,Materials
VMC,82.00833271431597,Materials
WRK,15.128736505769703,Materials
