,0,Sector
ARE,91.07899365939507,Real Estate
AMT,88.56304918283418,Real Estate
AVB,123.2679954269161,Real Estate
BXP,89.74094659163528,Real Estate
CPT,68.40793331216459,Real Estate
CBRE,27.774538386878493,Real Estate
CCI,67.30299191898985,Real Estate
DLR,60.93287626578383,Real Estate
EQIX,239.20374837680018,Real Estate
EQR,51.1274744642924,Real Estate
ESS,154.70297051684497,Real Estate
EXR,49.529540251460794,Real Estate
FRT,85.59334042798983,Real Estate
PEAK,28.18073974941691,Real Estate
HST,15.651887505297383,Real Estate
INVH,7.64070654842135,Real Estate
IRM,27.090280644044483,Real Estate
KIM,21.966847042127014,Real Estate
MAA,73.09177224538098,Real Estate
PLD,51.56804124806842,Real Estate
PSA,138.6324168694346,Real Estate
O,37.75549040538807,Real Estate
REG,51.412306875235416,Real Estate
SBAC,95.85844281617973,Real Estate
SPG,104.26549447203335,Real Estate
UDR,27.833899416417292,Real Estate
VTR,47.244878871197976,Real Estate
VICI,5.691214082298213,Real Estate
WELL,51.628473687416886,Real Estate
WY,41.6135830089654,Real Estate
