,0,Sector
AES,16.71004471037639,Utilities
LNT,27.417572983834024,Utilities
AEE,49.24048007236768,Utilities
AEP,52.15673150183403,Utilities
AWK,47.407532947112436,Utilities
ATO,50.79344274875236,Utilities
CNP,20.12583692791323,Utilities
CMS,30.01550942065373,Utilities
ED,57.64144749821049,Utilities
CEG,3.5815827041456143,Utilities
D,52.843737935040096,Utilities
DTE,60.08654792382293,Utilities
DUK,66.24382992027557,Utilities
EIX,45.75232336319065,Utilities
ETR,75.91894430852916,Utilities
EVRG,34.76449858436029,Utilities
ES,42.13449441239442,Utilities
EXC,30.226890238507153,Utilities
FE,40.35158852951167,Utilities
NEE,26.57531581437343,Utilities
NI,14.3516390559608,Utilities
NRG,22.395462323990586,Utilities
PCG,34.34365357637201,Utilities
PNW,55.053595613208536,Utilities
PPL,28.091392150562104,Utilities
PEG,37.70926888450368,Utilities
SRE,75.0618945846819,Utilities
SO,41.26728772161758,Utilities
WEC,42.07672661996051,Utilities
XEL,33.53748114970449,Utilities
