,APD,ALB,AMCR,AVY,BALL,CE,CF,CTVA,DOW,DD,EMN,ECL,FMC,FCX,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,STLD,VMC,WRK
2000-01-03,30.65737771987915,9.328125,0.0,71.84375,2.4697265028953552,0.0,0.0,0.0,0.0,63.25396156311035,23.6328125,19.1484375,12.196444034576416,10.5546875,36.53125,52.5899715423584,25.21875,0.0,40.796875,16.828125,24.171875,13.578125,0.0,30.609375,25.8515625,6.786458253860474,4.0,39.5,0.0
2000-01-04,29.631128787994385,9.0078125,0.0,69.578125,2.4501952528953552,0.0,0.0,0.0,0.0,61.61571979522705,23.0,18.53125,11.827162981033325,10.234375,35.046875,51.086984634399414,24.5546875,0.0,39.984375,16.390625,22.828125,13.51953125,0.0,29.4296875,26.5703125,6.526041746139526,3.83984375,39.25,0.0
2000-01-05,29.428770065307617,9.1015625,0.0,71.71875,2.4306644797325134,0.0,0.0,0.0,0.0,62.17909812927246,23.375,18.7734375,11.915248155593872,10.2109375,35.15625,51.393418312072754,24.796875,0.0,41.09375,16.71875,22.671875,13.625,0.0,29.546875,27.03125,6.505208492279053,3.921875,40.796875,0.0
2000-01-06,30.96091604232788,9.2734375,0.0,73.65625,2.4833982586860657,0.0,0.0,0.0,0.0,64.5141487121582,24.546875,19.3203125,11.962678670883179,10.203125,35.875,52.64833927154541,25.8359375,0.0,43.546875,17.328125,22.15625,13.8828125,0.0,30.9609375,27.515625,6.635416507720947,4.06640625,41.625,0.0
2000-01-07,32.69542074203491,9.3671875,0.0,75.53125,2.4589847326278687,0.0,0.0,0.0,0.0,66.17463111877441,25.171875,19.9453125,12.023661136627197,9.9140625,36.953125,54.69123554229736,26.6484375,0.0,46.171875,17.578125,21.96875,13.92578125,0.0,31.9140625,28.515625,6.526041746139526,4.16796875,42.078125,0.0
2000-01-10,32.05943536758423,9.2890625,0.0,76.890625,2.5634767413139343,0.0,0.0,0.0,0.0,65.45558166503906,24.7265625,20.1171875,12.315020561218262,9.9921875,36.4375,54.95389270782471,26.6875,0.0,47.015625,18.234375,21.46875,13.6875,0.0,31.4609375,29.39453125,6.468750238418579,4.31640625,43.140625,0.0
2000-01-11,30.9320068359375,9.2890625,0.0,77.671875,2.5224609971046448,0.0,0.0,0.0,0.0,64.04714107513428,24.40625,20.109375,12.470864295959473,9.890625,36.328125,53.37794494628906,27.0234375,0.0,46.265625,18.40625,22.09375,13.671875,0.0,30.8515625,29.421875,6.46875,4.27734375,43.109375,0.0
2000-01-12,30.71519422531128,9.2734375,0.0,76.859375,2.4892579913139343,0.0,0.0,0.0,0.0,64.74394989013672,24.59375,19.625,12.711405277252197,9.78125,36.5625,51.88955020904541,26.90625,0.0,46.734375,18.109375,22.109375,13.52734375,0.0,31.2734375,29.65625,6.473958253860474,4.54296875,42.578125,0.0
2000-01-13,30.773011207580566,9.375,0.0,76.171875,2.5107422471046448,0.0,0.0,0.0,0.0,65.27025985717773,24.796875,19.6875,12.914678812026978,9.7734375,36.75,51.291274070739746,26.7109375,0.0,48.625,19.0,21.71875,13.609375,0.0,31.9140625,30.265625,6.401041507720947,4.37109375,42.625,0.0
2000-01-14,30.28156852722168,9.375,0.0,75.96875,2.6201172471046448,0.0,0.0,0.0,0.0,65.7076187133789,24.4140625,19.6171875,12.921454906463623,9.5625,36.65625,51.90414237976074,26.7734375,0.0,48.28125,18.40625,21.03125,13.72265625,0.0,31.765625,30.15625,6.359375,4.43359375,42.8125,0.0
2000-01-18,29.154139518737793,9.09375,0.0,74.640625,2.6542969942092896,0.0,0.0,0.0,0.0,63.63201713562012,23.953125,19.3984375,12.840145826339722,9.6015625,36.234375,50.080129623413086,25.8125,0.0,46.859375,18.328125,21.5625,13.546875,0.0,30.984375,29.7265625,6.192708253860474,4.4921875,43.421875,0.0
2000-01-19,28.83614730834961,9.09375,0.0,70.515625,2.6298832297325134,0.0,0.0,0.0,0.0,61.897409439086914,23.0859375,19.140625,12.52845811843872,9.859375,36.5703125,49.17541694641113,24.828125,0.0,46.578125,18.140625,21.9375,13.6484375,0.0,30.25,28.96875,6.161458492279053,4.4082032442092896,43.546875,0.0
2000-01-20,27.954440593719482,9.0703125,0.0,67.34375,2.62109375,0.0,0.0,0.0,0.0,60.21283435821533,22.640625,18.9453125,12.203219652175903,9.765625,36.78125,48.35825824737549,23.84375,0.0,45.265625,17.578125,21.046875,13.4296875,0.0,29.5625,28.1015625,5.979166746139526,4.3671875,43.828125,0.0
2000-01-21,27.69426441192627,9.046875,0.0,68.375,2.617187738418579,0.0,0.0,0.0,0.0,58.06495666503906,21.984375,18.7578125,11.999945878982544,9.40625,37.046875,47.17629814147949,23.6171875,0.0,44.265625,17.453125,21.078125,12.91015625,0.0,29.1484375,27.875,5.984374761581422,4.34375,43.328125,0.0
2000-01-24,27.997802257537842,9.109375,0.0,68.25,2.5146484971046448,0.0,0.0,0.0,0.0,59.021217346191406,21.890625,18.34375,12.02704906463623,9.046875,36.140625,45.965152740478516,23.828125,0.0,44.328125,17.40625,20.390625,12.5859375,0.0,29.28125,27.25,5.981770992279053,4.29296875,42.609375,0.0
2000-01-25,28.286887645721436,8.765625,0.0,67.703125,2.4003907442092896,0.0,0.0,0.0,0.0,58.68022537231445,21.1015625,18.1171875,11.72891354560852,8.7734375,35.5625,44.841559410095215,22.5078125,0.0,43.40625,17.078125,19.875,12.3359375,0.0,28.640625,26.8828125,5.994791507720947,4.1328125,43.953125,0.0
2000-01-26,28.547062873840332,8.7265625,0.0,68.78125,2.3505859971046448,0.0,0.0,0.0,0.0,57.783267974853516,20.984375,18.0078125,11.708586692810059,8.5,35.703125,45.060441970825195,21.734375,0.0,43.34375,17.078125,19.734375,12.14453125,0.0,28.6015625,27.8515625,5.994791746139526,4.1171875,42.46875,0.0
2000-01-27,28.53260898590088,9.0,0.0,68.9375,2.3574219942092896,0.0,0.0,0.0,0.0,57.4719295501709,21.03125,18.0234375,11.952515125274658,8.6484375,35.890625,44.89992809295654,21.515625,0.0,43.359375,16.5625,20.6875,12.4375,0.0,29.09375,28.3671875,5.96875,4.15234375,42.984375,0.0
2000-01-28,27.76653528213501,8.9375,0.0,67.46875,2.296875,0.0,0.0,0.0,0.0,55.47786903381348,19.546875,17.484375,11.793283939361572,8.7890625,35.703125,45.03125762939453,20.9609375,0.0,43.8125,16.65625,20.734375,12.6875,12.046875,28.4140625,28.6484375,5.890625,4.09765625,42.390625,0.0
2000-01-31,27.564176559448242,8.9765625,0.0,67.03125,2.2587890028953552,0.0,0.0,0.0,0.0,54.743995666503906,19.7734375,17.5703125,11.695034980773926,8.71875,35.796875,44.02440166473389,20.15625,0.0,42.859375,16.5,20.296875,12.3984375,12.03125,27.9453125,28.0625,5.880208492279053,3.9765625,42.203125,0.0
2000-02-01,27.896623611450195,8.859375,0.0,66.921875,2.2519532442092896,0.0,0.0,0.0,0.0,56.04865837097168,19.890625,17.4921875,11.68825888633728,8.703125,35.375,44.52053451538086,20.2890625,0.0,42.171875,17.234375,19.9375,12.52734375,12.015625,27.84375,27.734375,5.994791507720948,4.109375,42.1875,0.0
2000-02-02,28.185707569122314,8.78125,0.0,66.875,2.2285157442092896,0.0,0.0,0.0,0.0,55.38150119781494,19.8515625,17.3046875,11.640828132629395,8.75,35.328125,44.272467613220215,19.875,0.0,42.875,17.1875,20.671875,12.45703125,12.03125,27.65625,27.46875,5.963541507720947,4.3125,42.3125,0.0
2000-02-03,28.344703674316406,8.796875,0.0,66.484375,2.2324219942092896,0.0,0.0,0.0,0.0,54.551259994506836,20.0,17.28125,11.644216299057007,8.7265625,35.625,43.83470344543457,20.2109375,0.0,43.84375,16.890625,20.9375,12.3984375,12.015625,27.3984375,27.0234375,6.171875,4.203125,42.5,0.0
2000-02-04,28.547062873840332,8.703125,0.0,66.390625,2.1875,0.0,0.0,0.0,0.0,54.06201171875,20.0390625,17.515625,11.508700132369997,9.1640625,35.828125,43.01754570007324,20.4453125,0.0,43.9375,16.546875,23.328125,12.30078125,11.671875,27.2578125,26.515625,6.796874761581422,4.140625,42.765625,0.0
2000-02-07,28.489246368408203,8.609375,0.0,66.09375,2.1542969942092896,0.0,0.0,0.0,0.0,53.20953178405762,19.9609375,17.4609375,11.424002647399902,9.3203125,35.15625,42.28794002532959,20.90625,0.0,43.421875,16.65625,24.0625,11.84375,10.890625,26.5703125,25.75,6.7135419845581055,4.13671875,42.328125,0.0
2000-02-08,28.098982334136963,8.671875,0.0,65.453125,2.0986329913139343,0.0,0.0,0.0,0.0,53.2910737991333,19.953125,17.2265625,11.35963249206543,9.09375,34.15625,42.25875663757325,20.5546875,0.0,42.828125,16.671875,22.3125,11.859375,10.3125,26.09375,25.234375,6.541666746139526,4.13671875,42.125,0.0
2000-02-09,27.07273292541504,8.546875,0.0,64.90625,2.066406488418579,0.0,0.0,0.0,0.0,52.33481502532959,20.0546875,16.765625,11.108927726745605,9.0078125,33.328125,41.33945369720459,19.9140625,0.0,41.71875,16.40625,23.71875,11.9453125,10.0,25.671875,26.0703125,6.395833253860474,4.0703125,42.015625,0.0
