,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2000-01-03,31.53125,29.859375,34.046875,30.859375,26.765625,0.0,31.0859375,0.0,0.0,21.125,33.5625,0.0,18.78125,10.800888061523438,8.183430910110474,0.0,10.260491371154785,11.291666984558104,22.609375,19.859375,22.75,10.038154602050781,19.859375,18.34375,21.07174777984619,9.890625,4.710516929626465,0.0,15.34375,70.203125
2000-01-04,30.828125,29.21875,33.421875,30.4375,26.21875,0.0,30.4375,0.0,0.0,20.8984375,33.03125,0.0,18.734375,10.79377269744873,8.168134689331055,0.0,9.593003273010254,11.213541746139526,22.515625,19.59375,22.671875,9.939741134643555,19.890625,17.578125,20.76720094680786,9.65625,4.549931168556213,0.0,15.328125,68.5
2000-01-05,30.265625,29.328125,33.171875,30.328125,26.109375,0.0,30.25,0.0,0.0,21.0625,32.765625,0.0,18.734375,10.928961992263794,8.03046989440918,0.0,9.297767877578735,11.213541746139526,22.53125,19.078125,22.8125,9.879179000854492,19.90625,16.78125,20.694690227508545,9.71875,4.549931645393372,0.0,15.59375,68.96875
2000-01-06,29.640625,29.40625,33.984375,30.75,26.34375,0.0,29.25,0.0,0.0,21.453125,32.9375,0.0,18.96875,11.306067943572998,7.938693284988403,0.0,9.126617431640625,11.416666507720947,22.625,19.546875,23.328125,9.932170867919922,19.890625,16.875,21.20226812362671,10.09375,4.567774295806885,0.0,16.234375,72.5
2000-01-07,29.6875,30.421875,35.296875,31.5625,26.84375,0.0,29.875,0.0,0.0,21.90625,33.75,0.0,19.765625,11.562215328216553,8.091654300689697,0.0,9.070993423461914,11.723958015441896,22.796875,19.875,24.0,10.068435668945312,20.328125,17.625,21.898374557495117,10.28125,4.496402859687805,0.0,16.734375,71.921875
2000-01-10,30.25,33.015625,35.6875,32.21875,26.984375,0.0,32.640625,0.0,0.0,22.0859375,34.140625,0.0,20.3125,11.725865364074709,8.366984844207764,0.0,9.293489217758179,11.890624761581423,22.828125,20.0625,24.390625,10.27283239364624,20.734375,21.875,22.434958457946777,10.21875,4.567774295806885,0.0,16.984375,71.515625
2000-01-11,30.390625,35.453125,35.515625,32.1875,26.8125,0.0,31.28125,0.0,0.0,22.09375,33.84375,0.0,19.90625,11.704519748687744,8.550538301467896,0.0,9.580166578292847,11.869791746139526,22.609375,20.15625,24.453125,10.393956184387207,20.671875,24.4921875,22.71049976348877,10.265625,4.46071720123291,0.0,16.9375,71.03125
2000-01-12,30.140625,37.421875,35.15625,31.84375,26.640625,0.0,30.484375,0.0,0.0,21.9765625,33.78125,0.0,19.9375,11.740095853805544,8.627019166946411,0.0,9.374786138534546,11.833333492279053,22.484375,20.125,24.34375,10.462088584899902,20.640625,25.140625,22.42045545578003,10.15625,4.442874193191528,0.0,16.71875,69.296875
2000-01-13,29.9375,37.796875,35.0,31.65625,26.6875,0.0,30.078125,0.0,0.0,21.8203125,33.796875,0.0,19.875,11.797017335891725,8.65761137008667,0.0,9.23358678817749,11.776041507720947,22.484375,20.015625,24.265625,10.439377784729004,20.375,24.765625,22.43495750427246,10.015625,4.496402859687805,0.0,16.5625,68.65625
2000-01-14,30.265625,37.96875,35.078125,31.578125,26.8125,0.0,29.4375,0.0,0.0,21.5,33.921875,0.0,19.890625,11.768556594848635,8.734091997146606,0.0,9.3148832321167,11.895833253860474,22.484375,19.875,24.1875,10.50750994682312,20.296875,25.2578125,22.725002765655518,9.953125,4.5320885181427,0.0,16.625,69.078125
2000-01-18,30.265625,39.015625,34.796875,31.40625,26.90625,0.0,29.5859375,0.0,0.0,21.140625,33.6875,0.0,19.96875,11.569330930709839,8.8870530128479,0.0,9.07527232170105,11.807291746139526,22.78125,20.09375,23.875,10.56050157546997,20.046875,25.5625,22.95703935623169,9.765625,4.585617184638977,0.0,16.40625,67.640625
2000-01-19,30.421875,38.96875,35.09375,31.1875,27.046875,0.0,30.015625,0.0,0.0,21.1171875,34.09375,0.0,19.96875,11.555100440979004,9.238864183425903,0.0,8.98541808128357,11.864583492279053,23.21875,20.171875,23.609375,10.545361518859863,20.296875,27.21875,23.058554649353027,9.84375,4.585617184638977,0.0,16.40625,62.8125
2000-01-20,30.21875,40.203125,35.234375,31.015625,27.125,0.0,30.046875,0.0,0.0,21.1875,34.234375,0.0,20.1875,11.704519987106323,9.238864183425903,0.0,9.06243634223938,11.906250238418577,22.4375,20.25,23.390625,10.552931785583496,20.53125,26.625,23.189074516296387,9.96875,4.60345983505249,0.0,16.96875,64.125
