,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-01-03,36.65625,13.5546875,32.265625,31.640625,0.0,20.09375,18.954328060150146,30.234375,34.078125,0.0,19.2734375,26.10372304916382,42.79256725311279,25.234375,25.4375,16.515625,20.546875,12.125535249710083,22.21875,5.2207032442092896,6.943762540817261,0.0,20.0625,29.9375,10.507356405258179,17.265625,17.25,14.031609058380127,9.625,19.296875
2000-01-04,35.3359375,13.34375,32.328125,31.625,0.0,19.78125,18.822609424591064,29.75,33.90625,0.0,19.2578125,25.39893627166748,42.370361328125,25.171875,25.28125,16.75,20.609375,11.980652570724487,22.078125,5.19140625,6.9499019384384155,0.0,20.265625,29.84375,10.551015615463257,17.140625,17.4375,13.955247402191162,9.546875,19.25
2000-01-05,34.9140625,13.75,32.9375,32.4375,0.0,19.953125,19.428515434265137,30.296875,35.09375,0.0,19.9765625,26.19680881500244,43.84127140045166,26.546875,26.015625,17.46875,20.734375,12.326141357421875,22.53125,5.33984375,7.189341902732849,0.0,21.484375,30.484375,10.754759550094604,17.3828125,17.875,14.480239391326904,9.84375,19.8125
2000-01-06,35.3984375,14.0390625,33.484375,33.09375,0.0,19.90625,19.994906425476074,30.59375,35.5,0.0,20.328125,26.382978439331055,45.38027858734131,26.640625,26.078125,17.828125,20.875,12.53231954574585,22.921875,5.425781488418579,7.220039248466492,0.0,22.078125,30.984375,10.776589393615723,17.65625,18.15625,14.900233268737793,10.0625,20.015625
2000-01-07,35.6875,14.15625,33.71875,33.453125,0.0,19.90625,20.139797687530518,30.96875,35.921875,0.0,20.296875,26.462766170501705,46.46984100341797,27.5,25.9375,17.6875,21.0625,12.755215644836426,23.015625,5.5097657442092896,7.238457441329956,0.0,22.296875,31.515625,10.863908290863037,17.6015625,18.203125,15.043412685394287,10.078125,19.96875
2000-01-10,37.0625,14.2421875,33.875,33.59375,0.0,19.90625,20.008078575134277,30.84375,35.59375,0.0,20.3828125,26.981382846832275,46.81032848358154,27.90625,25.9375,17.453125,21.0625,13.24001431465149,23.125,5.519531488418579,7.348968505859375,0.0,21.8125,31.640625,10.863907814025879,17.5625,17.96875,15.005231142044067,10.171875,20.0
2000-01-11,37.8828125,14.25,33.59375,33.578125,0.0,19.828125,19.784156322479248,31.046875,34.78125,0.0,20.3125,26.63563823699951,46.23830795288086,27.921875,25.859375,17.40625,21.046875,13.306883096694946,23.203125,5.4785157442092896,7.250736594200134,0.0,21.59375,31.34375,10.798418998718262,17.625,16.8125,14.890687465667725,10.09375,19.984375
2000-01-12,38.5546875,14.265625,33.6875,33.71875,0.0,19.65625,19.83684492111206,31.296875,34.59375,0.0,20.5,26.821808338165283,46.52431774139404,27.9375,25.859375,17.234375,21.046875,13.301310300827026,23.296875,5.535156488418579,7.195481300354004,0.0,21.828125,31.484375,10.725653409957886,17.7890625,17.203125,14.995686054229736,10.1328125,20.25
2000-01-13,39.203125,14.4921875,33.84375,33.828125,0.0,19.3125,20.008078575134277,31.625,34.5,0.0,20.6484375,26.835106372833252,46.98738193511963,27.8125,25.546875,17.171875,20.9375,13.59664797782898,23.46875,5.558593988418579,7.195481181144714,0.0,21.953125,31.34375,10.8493549823761,17.7265625,17.453125,14.995686054229736,10.1640625,20.375
2000-01-14,41.03125,14.453125,33.59375,33.765625,0.0,19.0625,19.586578369140625,31.328125,33.9375,0.0,20.8046875,26.70212745666504,47.28701305389404,27.46875,25.390625,16.671875,20.796875,13.724812746047974,23.390625,5.4707032442092896,7.158644437789917,0.0,21.78125,30.875,10.8202486038208,17.4609375,17.28125,14.804779767990112,10.046875,20.34375
